Day,Portfolio,Change
1,100.0,
2,101.75272084805654,1.0481572815533982
3,127.83010433109541,1.4637553320427573
4,109.21371600562557,0.7698944717592038
5,124.71,1.2183836135765577
6,146.2287249675174,1.4024519725093352
7,153.35125757731282,1.0935960784313725
8,208.40529249000554,1.7756096186361072
9,180.7984911400339,0.6893011093502377
10,268.93710887908935,1.9361230782720527
11,346.6310858176553,1.4944116141300374
12,313.8178083040306,0.7875600448002658
13,371.21344703660975,1.402073014611751
14,286.72462804043136,0.5520387833067362
15,323.3442518942993,1.25754669640368
16,450.5759674170997,1.8886530058414972
17,503.25436908044685,1.38644934535308
18,497.0483237234458,0.9709667117061788
19,494.7104098269257,0.9853042679191342
20,387.7878467179352,0.4028621565113501
21,409.12605110136695,1.1049862286544145
22,383.300029173448,0.8580183986971258
23,401.6628078944823,1.140007604975827
24,322.2637838146169,0.5572777087514735
25,328.0283608222336,1.0358320172886708
