,Unnamed: 0,Bet State Chosen,Kelly Criterion Suggestion,Payouts (per Dollar),League,Date,Success,Allocation Dollars,Allocation Percentage
225,0.0,Jazz,0.57,1.39,NBA,2021-01-19,,22.91105,0.07109
226,0.0,Hull City,0.41,1.83,ELO,2021-01-19,,11.85395,0.03678
227,1.0,Portsmouth,0.52,1.5,ELO,2021-01-19,,19.06786,0.05917
228,2.0,Sunderland,0.49,1.59,ELO,2021-01-19,,16.93119,0.05254
229,3.0,Draw Blackpool v Northampton,0.08,3.8,ELO,2021-01-19,,0.45131,0.0014
230,4.0,Northampton,0.07,6.0,ELO,2021-01-19,,0.34553,0.00107
231,5.0,Rochdale,0.05,5.3,ELO,2021-01-19,,0.17629,0.00055
232,6.0,Draw Crewe Alexandra v Bristol Rovers,0.09,3.7,ELO,2021-01-19,,0.57119,0.00177
233,7.0,Bristol Rovers,0.16,5.6,ELO,2021-01-19,,1.80524,0.0056
234,8.0,Draw Lincoln City v Gillingham,0.09,3.7,ELO,2021-01-19,,0.57119,0.00177
235,9.0,Gillingham,0.07,5.7,ELO,2021-01-19,,0.34553,0.00107
236,10.0,Fleetwood Town,0.17,2.9,ELO,2021-01-19,,2.03795,0.00632
237,0.0,West Ham,0.44,1.57,EPL,2021-01-19,,13.65214,0.04236
238,1.0,Chelsea,0.17,2.45,EPL,2021-01-19,,2.03795,0.00632
239,0.0,Leverkusen,0.19,3.2,GPL,2021-01-19,,2.54567,0.0079
240,1.0,Mainz,0.1,4.2,GPL,2021-01-19,,0.70517,0.00219
241,0.0,Kayserispor,0.14,4.4,TSL,2021-01-19,,1.38214,0.00429
242,1.0,Draw Kayserispor v Başakşehir,0.07,3.9,TSL,2021-01-19,,0.34553,0.00107
243,2.0,Trabzonspor,0.37,1.83,TSL,2021-01-19,,9.65381,0.02996
244,0.0,Elche,0.06,4.6,LLA,2021-01-19,,0.25386,0.00079
245,1.0,Cádiz,0.18,2.95,LLA,2021-01-19,,2.28476,0.00709
246,2.0,Alavés,0.08,5.5,LLA,2021-01-19,,0.45131,0.0014
